TransactionID,EmployeeID,AdminFees,LoanDisbursement,Date
TE1000A,E1000,25.0,200.0,2024-01-15
TE1000B,E1000,25.0,300.0,2024-02-15
TE1001A,E1001,25.0,220.0,2024-01-15
TE1001B,E1001,25.0,330.0,2024-02-15
TE1002A,E1002,25.0,240.0,2024-01-15
TE1002B,E1002,25.0,360.0,2024-02-15
TE1003A,E1003,25.0,260.0,2024-01-15
TE1003B,E1003,25.0,390.0,2024-02-15
TE1004A,E1004,25.0,280.0,2024-01-15
TE1004B,E1004,25.0,420.0,2024-02-15
TE1005A,E1005,25.0,300.0,2024-01-15
TE1005B,E1005,25.0,450.0,2024-02-15
TE1006A,E1006,25.0,320.0,2024-01-15
TE1006B,E1006,25.0,480.0,2024-02-15
TE1007A,E1007,25.0,340.0,2024-01-15
TE1007B,E1007,25.0,510.0,2024-02-15
TE1008A,E1008,25.0,360.0,2024-01-15
TE1008B,E1008,25.0,540.0,2024-02-15
TE1009A,E1009,25.0,380.0,2024-01-15
TE1009B,E1009,25.0,570.0,2024-02-15
