EmployeeID,FundID,FundName,NAV,UnitsHeld,Date
E1000,FND437,Fund_469,27.44,92.07,2025-04-22
E1000,FND357,Fund_130,14.21,34.81,2025-04-22
E1000,FND128,Fund_196,59.8,53.45,2025-04-22
E1001,FND172,Fund_438,187.46,31.32,2025-04-22
E1001,FND338,Fund_114,186.01,3.75,2025-04-22
E1001,FND202,Fund_56,38.07,14.0,2025-04-22
E1001,FND96,Fund_254,40.7,45.64,2025-04-22
E1002,FND281,Fund_480,155.55,45.98,2025-04-22
E1002,FND326,Fund_381,130.97,37.69,2025-04-22
E1003,FND483,Fund_36,13.57,36.01,2025-04-22
E1003,FND314,Fund_90,194.72,16.75,2025-04-22
E1003,FND88,Fund_340,136.69,93.81,2025-04-22
E1003,FND144,Fund_191,132.55,25.82,2025-04-22
E1004,FND211,Fund_352,72.82,8.77,2025-04-22
E1004,FND379,Fund_356,158.91,77.6,2025-04-22
E1005,FND152,Fund_248,55.33,8.64,2025-04-22
E1005,FND226,Fund_142,194.96,57.36,2025-04-22
E1005,FND475,Fund_59,38.8,96.58,2025-04-22
E1006,FND432,Fund_221,113.55,27.52,2025-04-22
E1006,FND150,Fund_298,110.8,95.23,2025-04-22
E1007,FND108,Fund_467,68.68,51.66,2025-04-22
E1007,FND317,Fund_127,24.93,89.64,2025-04-22
E1008,FND249,Fund_331,110.94,65.15,2025-04-22
E1008,FND416,Fund_267,153.31,35.36,2025-04-22
E1008,FND235,Fund_231,197.76,60.1,2025-04-22
E1009,FND105,Fund_17,34.47,31.46,2025-04-22
E1009,FND153,Fund_40,188.3,96.83,2025-04-22
E1010,FND192,Fund_159,95.73,74.22,2025-04-22
E1010,FND290,Fund_286,101.02,47.35,2025-04-22
E1010,FND229,Fund_52,109.61,9.25,2025-04-22
E1011,FND250,Fund_66,135.11,38.01,2025-04-22
E1011,FND394,Fund_57,85.6,51.34,2025-04-22
E1012,FND106,Fund_385,187.96,63.75,2025-04-22
E1012,FND249,Fund_95,125.54,54.87,2025-04-22
E1013,FND468,Fund_76,56.0,31.99,2025-04-22
E1013,FND97,Fund_443,109.55,15.35,2025-04-22
E1013,FND137,Fund_242,162.8,19.29,2025-04-22
E1014,FND66,Fund_219,122.33,60.89,2025-04-22
E1014,FND359,Fund_464,121.84,85.49,2025-04-22
E1014,FND203,Fund_288,39.12,48.09,2025-04-22
E1014,FND399,Fund_172,135.36,2.27,2025-04-22
E1015,FND478,Fund_278,182.6,22.39,2025-04-22
E1015,FND210,Fund_103,119.24,2.91,2025-04-22
E1015,FND473,Fund_130,70.29,34.93,2025-04-22
E1015,FND227,Fund_399,59.98,29.14,2025-04-22
E1016,FND31,Fund_478,148.96,79.76,2025-04-22
E1016,FND307,Fund_326,126.28,13.2,2025-04-22
E1016,FND407,Fund_73,100.46,3.95,2025-04-22
E1016,FND92,Fund_485,195.21,68.62,2025-04-22
E1017,FND420,Fund_71,23.61,24.6,2025-04-22
E1017,FND37,Fund_88,61.97,9.95,2025-04-22
E1018,FND321,Fund_111,193.16,63.66,2025-04-22
